rank,stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,reject_reason,early_reject_reason
1,2376,技嘉,262.5,1.79,4.58,12.45,42.84,65.7,12,74.8,830447.0,458409.0,8348023.0,1255795.0,True,True,98.89,81.77,89.99,通過,通過
2,8070,長華*,47.6,2.35,1.6,9.11,3.77,63.8,8,32.3,-1059000.0,6000.0,296000.0,16000.0,True,True,67.16,84.53,76.19,通過,通過
3,5469,瀚宇博,90.1,2.66,5.88,5.33,8.17,57.1,4,47.4,728100.0,-766.0,1218100.0,234.0,True,True,41.31,85.92,64.51,通過,通過
4,3305,昇貿,116.5,2.59,7.37,10.05,11.98,60.4,4,72.7,1048000.0,0.0,2529999.0,0.0,True,True,47.48,77.45,63.06,通過,通過
5,2301,光寶科,161.5,1.81,4.19,2.98,62.76,53.6,5,23.4,189231.0,57176.0,10535786.0,38827.0,True,True,42.17,77.15,60.36,通過,通過
6,6139,亞翔,636.0,1.68,5.12,13.8,60.06,62.8,2,47.5,637553.0,-5051.0,2144672.0,-105880.0,True,True,34.01,80.66,58.27,通過,通過
7,3231,緯創,135.0,1.36,1.89,4.36,56.81,58.0,3,117.7,9922598.0,-325524.0,47744510.0,181738.0,True,True,27.15,85.09,57.28,通過,通過
8,2327,國巨,285.0,1.38,1.24,7.9,93.64,59.4,4,22.8,14708562.0,-123929.0,45177461.0,-443351.0,True,True,36.91,75.51,56.98,通過,通過
9,5284,jpp-KY,308.5,2.19,6.01,12.17,12.88,63.3,1,47.5,878970.0,0.0,1154433.0,0.0,True,True,27.59,83.8,56.82,通過,通過
10,3090,日電貿,100.0,1.75,0.1,6.58,6.78,58.7,3,34.1,1347000.0,-9160.0,4194931.0,-30793.0,True,True,28.58,81.87,56.29,通過,通過
11,6691,洋基工程,630.0,1.69,5.0,3.47,6.22,58.4,2,112.7,333598.0,-6893.0,483546.0,69219.0,True,True,23.21,85.7,55.7,通過,通過
12,3028,增你強,59.4,2.47,-1.33,11.68,9.51,63.7,4,125.2,891900.0,0.0,2155901.0,0.0,True,True,40.67,68.66,55.22,通過,通過
13,3450,聯鈞,306.5,1.69,5.87,11.25,95.3,61.7,2,-25.6,1106625.0,-537.0,11113349.0,-1229.0,True,True,32.12,76.2,55.04,通過,通過
14,3413,京鼎,315.0,2.0,2.11,3.82,12.34,57.5,3,26.8,1062000.0,-610000.0,2483030.0,-453000.0,True,True,28.14,78.1,54.12,通過,通過
15,2801,彰銀,21.15,1.4,0.71,2.35,4.75,60.1,4,23.7,960410.0,-59508.0,8488605.0,-88508.0,True,True,30.69,74.82,53.64,通過,通過
16,3706,神達,83.0,2.21,6.14,4.2,21.65,57.9,1,43.2,9836750.0,-4781.0,14052380.0,-5781.0,True,True,19.49,84.02,53.05,通過,通過
17,4938,和碩,80.7,1.31,0.88,6.46,8.16,63.7,3,-0.8,132206.0,-276760.0,3544212.0,-128600.0,True,True,28.26,74.73,52.42,通過,通過
