stock_id,name
3044,健鼎
1503,士電
2328,廣宇
8110,華東
2379,瑞昱
2392,正崴
2908,特力
4532,瑞智
1513,中興電
1218,泰山
2706,第一店
2388,威盛
1217,愛之味
2108,南帝
5521,工信
2368,金像電
2492,華新科
6285,啟碁
1709,和益
6191,精成科
2534,宏盛
2102,泰豐
2034,允強
2608,嘉里大榮
6176,瑞儀
4915,致伸
6257,矽格
3189,景碩
9917,中保科
1808,潤隆
2701,萬企
6757,台灣虎航-創
2017,官田鋼
2393,億光
8131,福懋科
8105,凌巨
2340,台亞
2538,基泰
2457,飛宏
4142,國光生
2451,創見
3033,威健
2360,致茂
2327,國巨
1712,興農
4919,新唐
2617,台航
2211,長榮鋼
2540,愛山林
3704,合勤控
9934,成霖
6177,達麗
1464,得力
3673,TPK-KY
4906,正文
1108,幸福
1234,黑松
8404,百和興業-KY
6412,群電
1307,三芳
1309,台達化
2355,敬鵬
2514,龍邦
9921,巨大
1806,冠軍
5608,四維航
2528,皇普
3532,台勝科
9925,新保
2506,太設
1604,聲寶
3017,奇鋐
2481,強茂
2369,菱生
2505,國揚
1532,勤美
2645,長榮航太
2524,京城
2704,國賓
1442,名軒
6213,聯茂
2832,台產
2009,第一銅
1459,聯發
2049,上銀
3266,昇陽
2406,國碩
2383,台光電
2405,輔信
1522,堤維西
3056,富華新
1109,信大
6446,藥華藥
6456,GIS-KY
2022,聚亨
5607,遠雄港
2536,宏普
1219,福壽
6142,友勁
3062,建漢
2545,皇翔
9946,三發地產
2028,威致
1611,中電
6269,台郡
2419,仲琦
2029,盛餘
2031,新光鋼
8215,明基材
2485,兆赫
6789,采鈺
1612,宏泰
2850,新產
3042,晶技
9937,全國
2402,毅嘉
9905,大華
2458,義隆
1736,喬山
2107,厚生
1810,和成
2012,春雨
1457,宜進
2852,第一保
2426,鼎元
2537,聯上發
1506,正道
2614,東森
1419,新紡
2227,裕日車
1316,上曜
9914,美利達
1701,中化
9938,百和
5388,中磊
5007,三星
1215,卜蜂
1702,南僑
8464,億豐
6278,台表科
5534,長虹
3016,嘉晶
9939,宏全
2374,佳能
3006,晶豪科
5533,皇鼎
2025,千興
2030,彰源
5525,順天
8163,達方
1536,和大
2109,華豐
3019,亞光
3059,華晶科
3715,定穎投控
3024,憶聲
2548,華固
1476,儒鴻
2495,普安
2421,建準
6214,精誠
8213,志超
2535,達欣工
2527,宏璟
3048,益登
1614,三洋電
1337,再生-KY
6790,永豐實
3705,永信
1795,美時
1519,華城
3035,智原
1903,士紙
2450,神腦
2338,光罩
2442,新美齊
4526,東台
1514,亞力
2314,台揚
5515,建國
1773,勝一
1708,東鹼
9930,中聯資源
1231,聯華食
3712,永崴投控
1477,聚陽
8454,富邦媒
3023,信邦
1203,味王
9958,世紀鋼
2543,皇昌
1723,中碳
3010,華立
3030,德律
2373,震旦行
3701,大眾控
1467,南緯
3028,增你強
6139,亞翔
3209,全科
3052,夆典
1225,福懋油
1321,大洋
2516,新建
6202,盛群
1517,利奇
4934,太極
2509,全坤建
2816,旺旺保
2020,美亞
2486,一詮
2365,昆盈
9911,櫻花
2439,美律
3596,智易
1414,東和
3545,敦泰
5519,隆大
8411,福貞-KY
6166,凌華
3047,訊舟
2380,虹光
6806,森崴能源
1563,巧新
3090,日電貿
6189,豐藝
6024,群益期
2630,亞航
8039,台虹
2906,高林
6271,同欣電
1451,年興
6168,宏齊
2476,鉅祥
2305,全友
6288,聯嘉
1437,勤益控
4564,元翎
3058,立德
6196,帆宣
5538,東明-KY
1737,臺鹽
2013,中鋼構
1590,亞德客-KY
2062,橋椿
3013,晟銘電
4108,懷特
2612,中航
2427,三商電
6768,志強-KY
2464,盟立
5907,大洋-KY
9919,康那香
2387,精元
3041,揚智
1616,億泰
6235,華孚
1618,合機
2390,云辰
1603,華電
1528,恩德
2705,六福
9802,鈺齊-KY
2008,高興昌
2404,漢唐
2038,海光
1417,嘉裕
4927,泰鼎-KY
2611,志信
5434,崇越
9924,福興
6112,邁達特
3376,新日興
6115,鎰勝
3015,全漢
8429,金麗-KY
1416,廣豐
2597,潤弘
2455,全新
1721,三晃
1531,高林股
2316,楠梓電
2351,順德
1725,元禎
1515,力山
9918,欣天然
2723,美食-KY
9926,新海
1720,生達
2399,映泰
2436,偉詮電
1220,台榮
3022,威強電
2910,統領
6669,緯穎
6209,今國光
9935,慶豐富
1463,強盛
3031,佰鴻
4426,利勤
8028,昇陽半導體
2359,所羅門
2466,冠西電
8011,台通
2461,光群雷
3051,力特
2460,建通
5243,乙盛-KY
5471,松翰
6152,百一
1734,杏輝
9927,泰銘
1809,中釉
4164,承業醫
2069,運錩
2302,麗正
6526,達發
3026,禾伸堂
6605,帝寶
1524,耿鼎
2472,立隆電
6541,泰福-KY
1615,大山
3665,貿聯-KY
8473,山林水
3312,弘憶股
1726,永記
2414,精技
3014,聯陽
6579,研揚
1468,昶和
1232,大統益
6108,競國
1598,岱宇
2484,希華
2477,美隆電
6184,大豐電
2417,圓剛
1617,榮星
3038,全台
2342,茂矽
2467,志聖
2702,華園
3003,健和興
4104,佳醫
3050,鈺德
3029,零壹
1340,勝悅-KY
1626,艾美特-KY
2420,新巨
3694,海華
3622,洋華
1906,寶隆
1713,國化
1529,樂事綠能
1471,首利
2462,良得電
6183,關貿
6743,安普新
8463,潤泰材
1235,興泰
8249,菱光
2613,中櫃
1707,葡萄王
6283,淳安
2348,海悅
4155,訊映
1473,台南
2443,昶虹
3450,聯鈞
1560,中砂
2423,固緯
2478,大毅
3149,正達
3437,榮創
2433,互盛電
3494,誠研
3591,艾笛森
2636,台驊投控
6206,飛捷
8033,雷虎
4942,嘉彰
8021,尖點
2231,為升
3653,健策
1582,信錦
4976,佳凌
2911,麗嬰房
1435,中福
2440,太空梭
1527,鑽全
4989,榮科
1446,宏和
3060,銘異
2616,山隆
2358,廷鑫
1443,立益物流
3605,宏致
3305,昇貿
3443,創意
3008,大立光
1731,美吾華
1452,宏益
6670,復盛應用
3645,達邁
1413,宏洲
6414,樺漢
1445,大宇
2032,新鋼
8341,日友
1474,弘裕
1454,台富
6525,捷敏-KY
4935,茂林-KY
8271,宇瞻
2428,興勤
6464,台數科
6128,上福
2707,晶華
2413,環科
5306,桂盟
9943,好樂迪
1727,中華化
6477,安集
1535,中宇
2497,怡利電
6197,佳必琪
3607,谷崧
3515,華擎
4961,天鈺
2546,根基
